Census Tract,State,County,Urban,2010 Population,Housing Units,Low Income,Poverty Rate,Median Family Income,Food desert distance,Is there a food desert at this distance?
48453002304,Texas,Travis,1,2794,1214,1,38.5,19770,Food Desert at 1 & 10 miles,0
48453002307,Texas,Travis,1,5270,2457,1,25.6999999999999,35753,Food Desert at 1 & 10 miles,1
48453002308,Texas,Travis,1,6353,2554,1,30.5,33711,Food Desert at 1 & 10 miles,0
48453002310,Texas,Travis,1,3242,919,1,43.1,35639,Food Desert at 1 & 10 miles,1
48453002312,Texas,Travis,1,7157,2115,1,40,31591,Food Desert at 1 & 10 miles,0
48453002313,Texas,Travis,1,4311,1939,1,23,37581,Food Desert at 1 & 10 miles,1
48453002314,Texas,Travis,1,4467,2136,1,40.7999999999999,24034,Food Desert at 1 & 10 miles,0
48453002315,Texas,Travis,1,2941,1221,1,42.5,30650,Food Desert at 1 & 10 miles,0
48453002316,Texas,Travis,1,4787,1806,1,41.1,18605,Food Desert at 1 & 10 miles,0
48453002317,Texas,Travis,1,5181,1838,1,66.5999999999999,33125,Food Desert at 1 & 10 miles,0
48453002318,Texas,Travis,1,6451,2226,1,60.3999999999999,11769,Food Desert at 1 & 10 miles,0
48453002319,Texas,Travis,1,1945,0,1,71.4,0,Food Desert at 1 & 10 miles,1
48453002402,Texas,Travis,1,7082,3175,1,20.6999999999999,47981,Food Desert at 1 & 10 miles,0
48453002403,Texas,Travis,1,2616,1077,1,17,49976,Food Desert at 1 & 10 miles,0
48453002407,Texas,Travis,1,4491,1799,0,4.9,86680,Food Desert at 1 & 10 miles,0
48453002409,Texas,Travis,1,3180,1200,1,17,44655,Food Desert at 1 & 10 miles,0
48453002410,Texas,Travis,1,3773,1577,1,25.3999999999999,39471,Food Desert at 1 & 10 miles,0
48453002411,Texas,Travis,1,6161,1529,1,41.5,30911,Food Desert at 1 & 10 miles,1
48453002412,Texas,Travis,1,5782,1331,1,25.5,45833,Food Desert at 1 & 10 miles,1
48453002413,Texas,Travis,1,4455,1173,1,43.5,30585,Food Desert at 1 & 10 miles,1
48453002419,Texas,Travis,1,3890,1793,1,32.3999999999999,26667,Food Desert at 1 & 10 miles,0
48453002421,Texas,Travis,1,7443,3284,0,12,64583,Food Desert at 1 & 10 miles,0
48453002422,Texas,Travis,1,5472,2240,1,20.8999999999999,44732,Food Desert at 1 & 10 miles,0
48453002423,Texas,Travis,1,5383,2048,1,10.1999999999999,57309,Food Desert at 1 & 10 miles,1
48453002424,Texas,Travis,1,3379,1395,1,19.8999999999999,54798,Food Desert at 1 & 10 miles,0
48453002425,Texas,Travis,1,2798,1061,0,2,73482,Food Desert at 1 & 10 miles,0
48453002426,Texas,Travis,1,7490,2140,0,9.6,71975,Food Desert at 1 & 10 miles,0
48453002427,Texas,Travis,1,7995,2337,1,29,40031,Food Desert at 1 & 10 miles,1
48453002428,Texas,Travis,1,5618,2439,0,6.8,62168,Food Desert at 1 & 10 miles,0
48453002429,Texas,Travis,1,752,405,0,13.1,100909,Food Desert at 1 & 10 miles,0
48453002430,Texas,Travis,1,3422,963,1,18.1,50594,Food Desert at 1 & 10 miles,1
48453002431,Texas,Travis,0,7110,2146,1,22.1,51169,Food Desert at 1 & 10 miles,0
48453002432,Texas,Travis,0,2070,602,1,30.8,41833,Food Desert at 1 & 10 miles,0
48453002433,Texas,Travis,0,5981,1715,1,18.1999999999999,51520,Food Desert at 1 & 10 miles,0
